exercise,primary_muscle,exercise_link,image_link
Dumbbell Sumo Deadlift,Full Body,https://fitnessprogramer.com/exercise/dumbbell-sumo-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-sumo-deadlift.gif
Dumbbell Sumo Deadlift,Hip,https://fitnessprogramer.com/exercise/dumbbell-sumo-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-sumo-deadlift.gif
Dumbbell Sumo Deadlift,Leg,https://fitnessprogramer.com/exercise/dumbbell-sumo-deadlift/,https://fitnessprogramer.com/wp-content/uploads/2023/09/dumbbell-sumo-deadlift.gif
Bodyweight Lunge,Hip,https://fitnessprogramer.com/exercise/bodyweight-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/07/bodyweight-lunges.gif
Bodyweight Lunge,Leg,https://fitnessprogramer.com/exercise/bodyweight-lunge/,https://fitnessprogramer.com/wp-content/uploads/2023/07/bodyweight-lunges.gif
Frog Stand,Calisthenic,https://fitnessprogramer.com/exercise/frog-stand/,https://fitnessprogramer.com/wp-content/uploads/2023/06/Frog-Stand-1.gif
Backward Medicine Ball Throw,Full Body,https://fitnessprogramer.com/exercise/backward-medicine-ball-throw/,https://fitnessprogramer.com/wp-content/uploads/2023/05/Backward-Medicine-Ball-Throw.gif
Bulgarian Split Squat Jump,Hip,https://fitnessprogramer.com/exercise/bulgarian-split-squat-jump/,https://fitnessprogramer.com/wp-content/uploads/2023/03/Bulgarian-Jump-Squat.gif
Bulgarian Split Squat Jump,Leg,https://fitnessprogramer.com/exercise/bulgarian-split-squat-jump/,https://fitnessprogramer.com/wp-content/uploads/2023/03/Bulgarian-Jump-Squat.gif
Warrior 1 Pose,Yoga,https://fitnessprogramer.com/exercise/warrior-1-pose/,https://fitnessprogramer.com/wp-content/uploads/2023/01/Warrior-1-Pose.gif
Warrior 2 Pose,Yoga,https://fitnessprogramer.com/exercise/warrior-2-pose/,https://fitnessprogramer.com/wp-content/uploads/2023/01/Warrior-2-Pose.gif
Warrior 3 Pose,Yoga,https://fitnessprogramer.com/exercise/warrior-3-pose/,https://fitnessprogramer.com/wp-content/uploads/2023/01/Warrior-3-Pose.gif
Humble Warrior Pose,Yoga,https://fitnessprogramer.com/exercise/humble-warrior-pose/,https://fitnessprogramer.com/wp-content/uploads/2023/01/Humble-Warrior-Pose.gif
Reverse Warrior Pose (Viparita Virabhadrasana),Yoga,https://fitnessprogramer.com/exercise/reverse-warrior-pose/,https://fitnessprogramer.com/wp-content/uploads/2023/01/Reverse-Warrior-Viparita-Virabhadrasana.gif
Ustrasana,Yoga,https://fitnessprogramer.com/exercise/ustrasana/,https://fitnessprogramer.com/wp-content/uploads/2023/01/Ustrasana.gif
Utthita Trikonasana (Extended Triangle Pose),Yoga,https://fitnessprogramer.com/exercise/utthita-trikonasana-extended-triangle-pose/,https://fitnessprogramer.com/wp-content/uploads/2023/01/Utthita-Trikonasana-Extended-Triangle-Pose.gif
Zercher Carry,Full Body,https://fitnessprogramer.com/exercise/zercher-carry/,https://fitnessprogramer.com/wp-content/uploads/2023/01/zercher-carry.gif
Wall Walk,Calisthenic,https://fitnessprogramer.com/exercise/wall-walk/,https://fitnessprogramer.com/wp-content/uploads/2022/12/wall-walk-muscles.gif
